Date,Narration,Ref No,Debit,Credit,Balance
01/04/2026,NEFT-BLUE TOKAI COFFEE-INV041,N40001,,"45,000.00","8,45,000.00"
02/04/2026,IMPS-ORIGIN ROASTERS PVT LTD-PAYMENT,I40002,,"1,18,000.00","9,63,000.00"
03/04/2026,UPI/zomato/LUNCH TEAM OFFSITE,U40003,"1,250.50",,"9,61,749.50"
04/04/2026,SALARY APR STAFF BATCH PAYOUT,S40004,"3,20,000.00",,"6,41,749.50"
06/04/2026,NEFT-CHAI POINT RETAIL-INV043,N40005,,"72,500.00","7,14,249.50"
07/04/2026,AWS INDIA CLOUD SERVICES APR,A40006,"6,800.00",,"7,07,449.50"
08/04/2026,RTGS-SUBKO SPECIALTY-INV044 SETTLEMENT,R40007,,"2,36,000.00","9,43,449.50"
09/04/2026,WEWORK BKC RENT APR,W40008,"85,000.00",,"8,58,449.50"
10/04/2026,UPI/icici/ARAKU COFFEE WORKS COLLECT,U40009,,"54,000.00","9,12,449.50"
12/04/2026,GST PAYMENT GSTR-3B MAR,G40010,"1,42,318.00",,"7,70,131.50"
14/04/2026,NEFT-THIRD WAVE BREWS-INV046,N40011,,"88,500.00","8,58,631.50"
15/04/2026,ELECTRICITY BESCOM APR,E40012,"12,440.00",,"8,46,191.50"
17/04/2026,IMPS-KCROASTERS MUMBAI-INV047,I40013,,"1,12,000.00","9,58,191.50"
18/04/2026,TDS DEPOSIT 194C Q1,T40014,"8,500.00",,"9,49,691.50"
20/04/2026,IMPS TRANSFER CREDIT,I40015,,"39,750.00","9,89,441.50"
22/04/2026,NEFT PAYMENT RECEIVED,N40016,,"60,000.00","10,49,441.50"
