Date,Narration,Ref No,Debit,Credit,Balance
25/08/2023,TALLY PRIME RENEWAL,L00001,"18,000.00",,"2,482,000.00"
24/08/2024,TALLY PRIME RENEWAL,L00002,"18,000.00",,"2,464,000.00"
24/08/2025,TALLY PRIME RENEWAL,L00003,"18,000.00",,"2,446,000.00"
25/09/2025,ZOOM ONE PRO QUARTERLY,L00004,"11,400.00",,"2,434,600.00"
25/12/2025,ZOOM ONE PRO QUARTERLY,L00005,"11,400.00",,"2,423,200.00"
01/01/2026,SALARY PAYOUT STAFF BATCH,L00006,"420,000.00",,"2,003,200.00"
02/01/2026,WEWORK BKC RENT,L00007,"85,000.00",,"1,918,200.00"
03/01/2026,ZOHO ONE SUBSCRIPTION,L00008,"8,400.00",,"1,909,800.00"
06/01/2026,NOTION TEAM PLAN,L00009,"4,000.00",,"1,905,800.00"
06/01/2026,AWS INDIA CLOUD SERVICES,L00010,"19,400.00",,"1,886,400.00"
08/01/2026,FIGMA ORG SEATS,L00011,"3,600.00",,"1,882,800.00"
09/01/2026,SLACK BUSINESS PLUS,L00012,"6,200.00",,"1,876,600.00"
11/01/2026,ADOBE CREATIVE CLOUD,L00013,"5,300.00",,"1,871,300.00"
13/01/2026,PAYU GATEWAY AMC CHARGES,L00014,"2,360.00",,"1,868,940.00"
17/01/2026,GITHUB TEAM PLAN,L00015,"2,900.00",,"1,866,040.00"
01/02/2026,SALARY PAYOUT STAFF BATCH,L00016,"420,000.00",,"1,446,040.00"
02/02/2026,WEWORK BKC RENT,L00017,"85,000.00",,"1,361,040.00"
03/02/2026,ZOHO ONE SUBSCRIPTION,L00018,"8,400.00",,"1,352,640.00"
06/02/2026,NOTION TEAM PLAN,L00019,"4,000.00",,"1,348,640.00"
06/02/2026,AWS INDIA CLOUD SERVICES,L00020,"64,100.00",,"1,284,540.00"
08/02/2026,FIGMA ORG SEATS,L00021,"3,600.00",,"1,280,940.00"
09/02/2026,SLACK BUSINESS PLUS,L00022,"6,200.00",,"1,274,740.00"
11/02/2026,ADOBE CREATIVE CLOUD,L00023,"5,300.00",,"1,269,440.00"
13/02/2026,PAYU GATEWAY AMC CHARGES,L00024,"2,360.00",,"1,267,080.00"
14/02/2026,ASANA PREMIUM PLAN,L00025,"5,100.00",,"1,261,980.00"
17/02/2026,GITHUB TEAM PLAN,L00026,"2,900.00",,"1,259,080.00"
01/03/2026,SALARY PAYOUT STAFF BATCH,L00027,"420,000.00",,"839,080.00"
02/03/2026,WEWORK BKC RENT,L00028,"85,000.00",,"754,080.00"
03/03/2026,ZOHO ONE SUBSCRIPTION,L00029,"8,400.00",,"745,680.00"
06/03/2026,NOTION TEAM PLAN,L00030,"4,000.00",,"741,680.00"
06/03/2026,AWS INDIA CLOUD SERVICES,L00031,"28,700.00",,"712,980.00"
08/03/2026,FIGMA ORG SEATS,L00032,"4,800.00",,"708,180.00"
09/03/2026,SLACK BUSINESS PLUS,L00033,"6,200.00",,"701,980.00"
11/03/2026,ADOBE CREATIVE CLOUD,L00034,"5,300.00",,"696,680.00"
13/03/2026,PAYU GATEWAY AMC CHARGES,L00035,"2,360.00",,"694,320.00"
14/03/2026,ASANA PREMIUM PLAN,L00036,"5,100.00",,"689,220.00"
17/03/2026,GITHUB TEAM PLAN,L00037,"2,900.00",,"686,320.00"
26/03/2026,ZOOM ONE PRO QUARTERLY,L00038,"11,400.00",,"674,920.00"
01/04/2026,SALARY PAYOUT STAFF BATCH,L00039,"420,000.00",,"254,920.00"
02/04/2026,WEWORK BKC RENT,L00040,"85,000.00",,"169,920.00"
03/04/2026,ZOHO ONE SUBSCRIPTION,L00041,"8,400.00",,"161,520.00"
06/04/2026,NOTION TEAM PLAN,L00042,"4,600.00",,"156,920.00"
06/04/2026,AWS INDIA CLOUD SERVICES,L00043,"44,200.00",,"112,720.00"
08/04/2026,FIGMA ORG SEATS,L00044,"6,000.00",,"106,720.00"
09/04/2026,SLACK BUSINESS PLUS,L00045,"6,200.00",,"100,520.00"
11/04/2026,ADOBE CREATIVE CLOUD,L00046,"5,300.00",,"95,220.00"
13/04/2026,PAYU GATEWAY AMC CHARGES,L00047,"2,360.00",,"92,860.00"
14/04/2026,ASANA PREMIUM PLAN,L00048,"5,100.00",,"87,760.00"
17/04/2026,GITHUB TEAM PLAN,L00049,"2,900.00",,"84,860.00"
01/05/2026,SALARY PAYOUT STAFF BATCH,L00050,"420,000.00",,"-335,140.00"
02/05/2026,WEWORK BKC RENT,L00051,"85,000.00",,"-420,140.00"
03/05/2026,ZOHO ONE SUBSCRIPTION,L00052,"8,400.00",,"-428,540.00"
06/05/2026,NOTION TEAM PLAN,L00053,"4,600.00",,"-433,140.00"
06/05/2026,AWS INDIA CLOUD SERVICES,L00054,"19,800.00",,"-452,940.00"
08/05/2026,FIGMA ORG SEATS,L00055,"7,200.00",,"-460,140.00"
11/05/2026,ADOBE CREATIVE CLOUD,L00056,"8,000.00",,"-468,140.00"
13/05/2026,PAYU GATEWAY AMC CHARGES,L00057,"2,360.00",,"-470,500.00"
14/05/2026,ASANA PREMIUM PLAN,L00058,"5,100.00",,"-475,600.00"
16/05/2026,PAYU GATEWAY AMC CHARGES,L00059,"2,360.00",,"-477,960.00"
01/06/2026,SALARY PAYOUT STAFF BATCH,L00060,"420,000.00",,"-897,960.00"
02/06/2026,WEWORK BKC RENT,L00061,"85,000.00",,"-982,960.00"
03/06/2026,ZOHO ONE SUBSCRIPTION,L00062,"8,400.00",,"-991,360.00"
06/06/2026,NOTION TEAM PLAN,L00063,"4,600.00",,"-995,960.00"
06/06/2026,AWS INDIA CLOUD SERVICES,L00064,"53,300.00",,"-1,049,260.00"
08/06/2026,FIGMA ORG SEATS,L00065,"7,200.00",,"-1,056,460.00"
11/06/2026,ADOBE CREATIVE CLOUD,L00066,"8,000.00",,"-1,064,460.00"
13/06/2026,PAYU GATEWAY AMC CHARGES,L00067,"2,360.00",,"-1,066,820.00"
14/06/2026,ASANA PREMIUM PLAN,L00068,"5,100.00",,"-1,071,920.00"
17/06/2026,GITHUB TEAM PLAN,L00069,"2,900.00",,"-1,074,820.00"
25/06/2026,ZOOM ONE PRO QUARTERLY,L00070,"11,400.00",,"-1,086,220.00"
01/07/2026,SALARY PAYOUT STAFF BATCH,L00071,"420,000.00",,"-1,506,220.00"
02/07/2026,WEWORK BKC RENT,L00072,"85,000.00",,"-1,591,220.00"
03/07/2026,ZOHO ONE SUBSCRIPTION,L00073,"8,400.00",,"-1,599,620.00"
06/07/2026,NOTION TEAM PLAN,L00074,"4,600.00",,"-1,604,220.00"
06/07/2026,AWS INDIA CLOUD SERVICES,L00075,"31,100.00",,"-1,635,320.00"
08/07/2026,FIGMA ORG SEATS,L00076,"7,200.00",,"-1,642,520.00"
11/07/2026,ADOBE CREATIVE CLOUD,L00077,"8,000.00",,"-1,650,520.00"
13/07/2026,PAYU GATEWAY AMC CHARGES,L00078,"2,360.00",,"-1,652,880.00"
14/07/2026,ASANA PREMIUM PLAN,L00079,"5,100.00",,"-1,657,980.00"
17/07/2026,GITHUB TEAM PLAN,L00080,"2,900.00",,"-1,660,880.00"
