Date,Narration,Ref No,Debit,Credit,Balance
30/08/2023,AMAZON PRIME MEMBERSHIP,L00001,"1,499.00",,"398,501.00"
29/08/2024,AMAZON PRIME MEMBERSHIP,L00002,"1,499.00",,"397,002.00"
29/08/2025,AMAZON PRIME MEMBERSHIP,L00003,"1,499.00",,"395,503.00"
20/09/2025,CULT FIT QUARTERLY PACK,L00004,"4,500.00",,"391,003.00"
30/09/2025,LIC PREMIUM DEBIT,L00005,"9,000.00",,"382,003.00"
20/12/2025,CULT FIT QUARTERLY PACK,L00006,"4,500.00",,"377,503.00"
30/12/2025,LIC PREMIUM DEBIT,L00007,"9,000.00",,"368,503.00"
01/01/2026,HOUSE RENT PAYMENT,L00008,"28,000.00",,"340,503.00"
04/01/2026,NETFLIX PREMIUM SUBSCRIPTION,L00009,649.00,,"339,854.00"
05/01/2026,HDFC HOME LOAN EMI,L00010,"42,000.00",,"297,854.00"
07/01/2026,SPOTIFY FAMILY PLAN,L00011,179.00,,"297,675.00"
09/01/2026,HOTSTAR SUPER PLAN,L00012,299.00,,"297,376.00"
12/01/2026,YOUTUBE PREMIUM INDIA,L00013,149.00,,"297,227.00"
15/01/2026,GOOGLE ONE 2TB STORAGE,L00014,210.00,,"297,017.00"
18/01/2026,ICLOUD PLUS STORAGE,L00015,219.00,,"296,798.00"
21/01/2026,AIRTEL POSTPAID BILL,L00016,999.00,,"295,799.00"
23/01/2026,GOLD GYM ELITE MEMBERSHIP,L00017,"2,999.00",,"292,800.00"
01/02/2026,HOUSE RENT PAYMENT,L00018,"28,000.00",,"264,800.00"
04/02/2026,NETFLIX PREMIUM SUBSCRIPTION,L00019,649.00,,"264,151.00"
05/02/2026,HDFC HOME LOAN EMI,L00020,"42,000.00",,"222,151.00"
07/02/2026,SPOTIFY FAMILY PLAN,L00021,179.00,,"221,972.00"
09/02/2026,HOTSTAR SUPER PLAN,L00022,299.00,,"221,673.00"
12/02/2026,YOUTUBE PREMIUM INDIA,L00023,149.00,,"221,524.00"
15/02/2026,GOOGLE ONE 2TB STORAGE,L00024,210.00,,"221,314.00"
18/02/2026,ICLOUD PLUS STORAGE,L00025,219.00,,"221,095.00"
21/02/2026,AIRTEL POSTPAID BILL,L00026,999.00,,"220,096.00"
23/02/2026,GOLD GYM ELITE MEMBERSHIP,L00027,"2,999.00",,"217,097.00"
01/03/2026,HOUSE RENT PAYMENT,L00028,"28,000.00",,"189,097.00"
04/03/2026,NETFLIX PREMIUM SUBSCRIPTION,L00029,649.00,,"188,448.00"
05/03/2026,HDFC HOME LOAN EMI,L00030,"42,000.00",,"146,448.00"
07/03/2026,SPOTIFY FAMILY PLAN,L00031,179.00,,"146,269.00"
09/03/2026,HOTSTAR SUPER PLAN,L00032,299.00,,"145,970.00"
12/03/2026,YOUTUBE PREMIUM INDIA,L00033,149.00,,"145,821.00"
15/03/2026,GOOGLE ONE 2TB STORAGE,L00034,210.00,,"145,611.00"
18/03/2026,ICLOUD PLUS STORAGE,L00035,219.00,,"145,392.00"
21/03/2026,AIRTEL POSTPAID BILL,L00036,999.00,,"144,393.00"
21/03/2026,CULT FIT QUARTERLY PACK,L00037,"4,500.00",,"139,893.00"
23/03/2026,GOLD GYM ELITE MEMBERSHIP,L00038,"2,999.00",,"136,894.00"
31/03/2026,LIC PREMIUM DEBIT,L00039,"9,000.00",,"127,894.00"
01/04/2026,HOUSE RENT PAYMENT,L00040,"28,000.00",,"99,894.00"
04/04/2026,NETFLIX PREMIUM SUBSCRIPTION,L00041,649.00,,"99,245.00"
05/04/2026,HDFC HOME LOAN EMI,L00042,"42,000.00",,"57,245.00"
07/04/2026,SPOTIFY FAMILY PLAN,L00043,179.00,,"57,066.00"
09/04/2026,HOTSTAR SUPER PLAN,L00044,299.00,,"56,767.00"
12/04/2026,YOUTUBE PREMIUM INDIA,L00045,149.00,,"56,618.00"
15/04/2026,GOOGLE ONE 2TB STORAGE,L00046,210.00,,"56,408.00"
18/04/2026,ICLOUD PLUS STORAGE,L00047,219.00,,"56,189.00"
21/04/2026,AIRTEL POSTPAID BILL,L00048,"1,199.00",,"54,990.00"
23/04/2026,GOLD GYM ELITE MEMBERSHIP,L00049,"2,999.00",,"51,991.00"
01/05/2026,HOUSE RENT PAYMENT,L00050,"28,000.00",,"23,991.00"
04/05/2026,NETFLIX PREMIUM SUBSCRIPTION,L00051,649.00,,"23,342.00"
05/05/2026,HDFC HOME LOAN EMI,L00052,"42,000.00",,"-18,658.00"
07/05/2026,SPOTIFY FAMILY PLAN,L00053,199.00,,"-18,857.00"
12/05/2026,YOUTUBE PREMIUM INDIA,L00054,149.00,,"-19,006.00"
15/05/2026,GOOGLE ONE 2TB STORAGE,L00055,210.00,,"-19,216.00"
18/05/2026,ICLOUD PLUS STORAGE,L00056,219.00,,"-19,435.00"
18/05/2026,SWIGGY ONE MEMBERSHIP,L00057,99.00,,"-19,534.00"
21/05/2026,AIRTEL POSTPAID BILL,L00058,"1,199.00",,"-20,733.00"
23/05/2026,GOLD GYM ELITE MEMBERSHIP,L00059,"2,999.00",,"-23,732.00"
01/06/2026,HOUSE RENT PAYMENT,L00060,"28,000.00",,"-51,732.00"
04/06/2026,NETFLIX PREMIUM SUBSCRIPTION,L00061,649.00,,"-52,381.00"
05/06/2026,HDFC HOME LOAN EMI,L00062,"42,000.00",,"-94,381.00"
07/06/2026,SPOTIFY FAMILY PLAN,L00063,199.00,,"-94,580.00"
12/06/2026,YOUTUBE PREMIUM INDIA,L00064,149.00,,"-94,729.00"
15/06/2026,GOOGLE ONE 2TB STORAGE,L00065,210.00,,"-94,939.00"
17/06/2026,SWIGGY ONE MEMBERSHIP,L00066,99.00,,"-95,038.00"
18/06/2026,ICLOUD PLUS STORAGE,L00067,219.00,,"-95,257.00"
19/06/2026,SWIGGY ONE MEMBERSHIP,L00068,99.00,,"-95,356.00"
20/06/2026,CULT FIT QUARTERLY PACK,L00069,"4,500.00",,"-99,856.00"
21/06/2026,AIRTEL POSTPAID BILL,L00070,"1,199.00",,"-101,055.00"
23/06/2026,GOLD GYM ELITE MEMBERSHIP,L00071,"2,999.00",,"-104,054.00"
30/06/2026,LIC PREMIUM DEBIT,L00072,"9,000.00",,"-113,054.00"
01/07/2026,HOUSE RENT PAYMENT,L00073,"28,000.00",,"-141,054.00"
04/07/2026,NETFLIX PREMIUM SUBSCRIPTION,L00074,649.00,,"-141,703.00"
05/07/2026,HDFC HOME LOAN EMI,L00075,"42,000.00",,"-183,703.00"
